Bredd
Plac; StartNr; Namn; Totaltid; #Etapper; Etapp1; Etapp2; Etapp3; Etapp4
; 201; Lundahl, Lars; --.--.--; 0; --.--.--
; 203; Carlsson, Magnus;  00.00.00; 0; --.--.--; --.--.--; --.--.--
3; 204; Hansson, Bosse;  00.00.00; 0; --.--.--; --.--.--; --.--.--; --.--.--
4; 205; Forsberg, Magnus;  00.00.00; 0; --.--.--; --.--.--; --.--.--; --.--.--
; 206; Gunnerhielm, Mikael; --.--.--; 0; --.--.--
6; 207; Pettersson, Matti;  00.00.00; 0; --.--.--; --.--.--; --.--.--; --.--.--
7; 208; Henfors, Per;  00.00.00; 0; --.--.--; --.--.--; --.--.--; --.--.--
; 209; Wickström, Mats;  00.00.00; 0; --.--.--; --.--.--
9; 210; Larsson Tony;  00.00.00; 0; --.--.--; --.--.--; --.--.--; --.--.--
; 211; Hedman, Ronnie; --.--.--; 0; --.--.--
11; 212; Andersson, Christer;  00.00.00; 0; --.--.--; --.--.--; --.--.--; --.--.--
; 213; Hedström, Michael;  00.00.00; 0; --.--.--; --.--.--; --.--.--
13; 214; Hallberg, Roger;  00.00.00; 0; --.--.--; --.--.--; --.--.--; --.--.--
; 215; Hinsch, Rene;  00.00.00; 0; --.--.--; --.--.--
; 216; Haupt, Remus; --.--.--; 0; --.--.--
; 217; Lövenskjold, Henrik; --.--.--; 0; --.--.--
17; 218; Johansson, B Tommy;  00.00.00; 0; --.--.--; --.--.--; --.--.--; --.--.--
18; 219; Johansson, Anders;  00.00.00; 0; --.--.--; --.--.--; --.--.--; --.--.--
; 220; Jönsson, Frank;  00.00.00; 0; --.--.--; --.--.--; --.--.--
20; 221; Berglund, Tommy;  00.00.00; 0; --.--.--; --.--.--; --.--.--; --.--.--
21; 222; Aulin, Johan;  00.00.00; 0; --.--.--; --.--.--; --.--.--; --.--.--
22; 224; Andersson, Pär Olof;  00.00.00; 0; --.--.--; --.--.--; --.--.--; --.--.--
23; 225; Fransson, Stefan;  00.00.00; 0; --.--.--; --.--.--; --.--.--; --.--.--
; 226; Tranberg, Robert;  00.00.00; 0; --.--.--; --.--.--
25; 227; Isaksson, Peter;  00.00.00; 0; --.--.--; --.--.--; --.--.--; --.--.--
; 228; Berndtson, Kristian;  00.00.00; 0; --.--.--; --.--.--; --.--.--
27; 230; Ragnarsson, Magnus;  00.00.00; 0; --.--.--; --.--.--; --.--.--; --.--.--
28; 231; Rydell, Anton;  00.00.00; 0; --.--.--; --.--.--; --.--.--; --.--.--
; 232; Niska, Jaakko;  00.00.00; 0; --.--.--; --.--.--; --.--.--
30; 233; Martinsson, Jems;  00.00.00; 0; --.--.--; --.--.--; --.--.--; --.--.--
31; 234; Starck, Niclas;  00.00.00; 0; --.--.--; --.--.--; --.--.--; --.--.--
32; 236; Torstensson, Johan;  00.00.00; 0; --.--.--; --.--.--; --.--.--; --.--.--
33; 237; Kvarnström, Tomas;  00.00.00; 0; --.--.--; --.--.--; --.--.--; --.--.--
34; 238; Söderberg, Lars;  00.00.00; 0; --.--.--; --.--.--; --.--.--; --.--.--
35; 239; Nilsson, Tomas;  00.00.00; 0; --.--.--; --.--.--; --.--.--; --.--.--
36; 240; Gustafson, Hans;  00.00.00; 0; --.--.--; --.--.--; --.--.--; --.--.--
37; 241; Sollman, Carl-Johan;  00.00.00; 0; --.--.--; --.--.--; --.--.--; --.--.--
38; 242; Svensson, Robert;  00.00.00; 0; --.--.--; --.--.--; --.--.--; --.--.--
39; 243; Nilsson, Micke;  00.00.00; 0; --.--.--; --.--.--; --.--.--; --.--.--
40; 244; Wienck, Matthias;  00.00.00; 0; --.--.--; --.--.--; --.--.--; --.--.--
41; 246; Nilsson, Håkan;  00.00.00; 0; --.--.--; --.--.--; --.--.--; --.--.--
42; 247; Johansson, Jonny;  00.00.00; 0; --.--.--; --.--.--; --.--.--; --.--.--
; 248; Johansson, Christer; --.--.--; 0; --.--.--
44; 249; Svensson, Peter;  00.00.00; 0; --.--.--; --.--.--; --.--.--; --.--.--
; 250; Thell, Anders;  00.00.00; 0; --.--.--; --.--.--; --.--.--
46; 251; Igelström, Mats;  00.00.00; 0; --.--.--; --.--.--; --.--.--; --.--.--
47; 252; Karlsson, Joakim;  00.00.00; 0; --.--.--; --.--.--; --.--.--; --.--.--
48; 253; Svensson, Marcus;  00.00.00; 0; --.--.--; --.--.--; --.--.--; --.--.--
; 254; Hinsegård, Pär;  00.00.00; 0; --.--.--; --.--.--; --.--.--
; 255; Hedberg, Ronny;  00.00.00; 0; --.--.--; --.--.--; --.--.--
Dam
Plac; StartNr; Namn; Totaltid; #Etapper; Etapp1; Etapp2; Etapp3
1; 352; Däldebring, Pia;  00.00.00; 0; --.--.--; --.--.--; --.--.--
2; 353; Adriansson, Sandra;  00.00.00; 0; --.--.--; --.--.--; --.--.--
Junior
Plac; StartNr; Namn; Totaltid; #Etapper; Etapp1; Etapp2; Etapp3; Etapp4
1; 101; Larsson Gimmy;  00.00.00; 0; --.--.--; --.--.--; --.--.--; --.--.--
2; 102; Killen, Fredrik;  00.00.00; 0; --.--.--; --.--.--; --.--.--; --.--.--
3; 103; Söderberg, Patrik;  00.00.00; 0; --.--.--; --.--.--; --.--.--; --.--.--
4; 104; Hermansson, Marcus;  00.00.00; 0; --.--.--; --.--.--; --.--.--; --.--.--
5; 105; Adielsson, Sebastian;  00.00.00; 0; --.--.--; --.--.--; --.--.--; --.--.--
6; 106; Lindbom, Tobias;  00.00.00; 0; --.--.--; --.--.--; --.--.--; --.--.--
7; 107; Johnsson, Christoffer;  00.00.00; 0; --.--.--; --.--.--; --.--.--; --.--.--
8; 108; Vidlund, Daniel;  00.00.00; 0; --.--.--; --.--.--; --.--.--; --.--.--
9; 109; Nilsson, Kim;  00.00.00; 0; --.--.--; --.--.--; --.--.--; --.--.--
10; 110; Söderblom, Charlie;  00.00.00; 0; --.--.--; --.--.--; --.--.--; --.--.--
11; 111; Jonsson, Joakim;  00.00.00; 0; --.--.--; --.--.--; --.--.--; --.--.--
Militär
Plac; StartNr; Namn; Totaltid; #Etapper; Etapp1; Etapp2; Etapp3
1; 301; Strandh, Magnus;  00.00.00; 0; --.--.--; --.--.--; --.--.--
; 302; Mitkiewicz, Stefan;  00.00.00; 0; --.--.--; --.--.--
3; 351; Kollman, Vanja;  00.00.00; 0; --.--.--; --.--.--; --.--.--
Motion
Plac; StartNr; Namn; Totaltid; #Etapper; Etapp1; Etapp2; Etapp3
1; 401; Gydevik, Peter;  00.00.00; 0; --.--.--; --.--.--; --.--.--
2; 402; Rosenqvist , Ola;  00.00.00; 0; --.--.--; --.--.--; --.--.--
; 403; Ed, Mikael; --.--.--; 0; --.--.--
4; 404; Kullander, Bengt;  00.00.00; 0; --.--.--; --.--.--; --.--.--
; 405; Svensson, Per; --.--.--; 0; --.--.--
6; 406; Elmgren, Claes;  00.00.00; 0; --.--.--; --.--.--; --.--.--
7; 407; Persson, Johan;  00.00.00; 0; --.--.--; --.--.--; --.--.--
8; 408; Karlsson, Lennart;  00.00.00; 0; --.--.--; --.--.--; --.--.--
9; 409; Johansson, Kenneth;  00.00.00; 0; --.--.--; --.--.--; --.--.--
10; 410; Hjärner, Hans;  00.00.00; 0; --.--.--; --.--.--; --.--.--
11; 411; Johansson, Per;  00.00.00; 0; --.--.--; --.--.--; --.--.--
; 413; Röllqvist, Ingemar; --.--.--; 0; --.--.--
13; 414; Svensson, Ronny;  00.00.00; 0; --.--.--; --.--.--; --.--.--
14; 415; Blomberg, Lars;  00.00.00; 0; --.--.--; --.--.--; --.--.--
15; 416; Berglund, Bengt;  00.00.00; 0; --.--.--; --.--.--; --.--.--
; 417; Karlsson, Ingvar;  00.00.00; 0; --.--.--
